test_id,uchumi,kitaifa,michezo,kimataifa,burudani,afya
SW4255,0.1005604972965953,0.8702091481578813,0.02923035414103416,2.0521409235091405e-32,2.866892512053003e-23,4.0451024487922784e-10
SW15677,3.109795595340631e-07,0.9999996529541624,3.6065834273703424e-08,1.8159470491442403e-46,5.367348840337736e-28,4.093358497835266e-15
SW15925,0.04490028279449656,0.9548846378546625,0.00021381734421340693,1.0662478937344901e-16,8.69131815912745e-08,1.1750934336535763e-06
SW7615,0.0028729123072051914,0.9971270872720359,4.204043292734805e-10,1.9342823560715636e-59,1.5178075629014564e-33,2.591851836813369e-16
SW28011,0.0046524247586284635,0.9953475750303115,1.845083811979732e-10,2.4394371018363183e-40,2.3168745415074948e-27,2.6957654160174242e-11
SW17365,0.5270860872581404,0.47290302813935553,1.0880537220849104e-05,2.3596075040015637e-44,2.6646556383548153e-28,4.0654807408155495e-09
SW7080,6.665254687427824e-05,0.9994074204690395,0.0005259269843866173,1.016200947360701e-50,6.07048749759208e-23,1.2302834447599476e-15
SW2129,0.07792217019291364,0.9220668112157439,1.3407454281599691e-06,2.146669669890047e-28,3.222806845117425e-26,9.67784603523098e-06
SW5265,0.3267744963080032,0.08141821904674107,0.5916870718529502,5.3715326866829794e-09,1.4810866957708684e-08,0.0001201926098022084
SW14885,0.0026718218029916697,0.14463044921671028,2.1454821047692402e-11,2.645540945038997e-45,1.2868925391830324e-37,0.8526977289591908
SW30360,0.0035240843075260444,0.9963672777351197,0.00010354514939655623,5.73782562679854e-17,4.885760448974547e-10,5.092319377180912e-06
SW11833,0.09988643936748094,0.8938163339924141,0.006296821314190509,5.735742166752163e-20,3.794158185364384e-15,4.053258441876387e-07
SW11077,0.01016535161461727,0.9898290176638913,5.628500355201588e-06,2.3814293729564436e-26,1.0841259962887373e-15,2.221119853562669e-09
SW13286,0.2633936435672752,0.7002165624670522,0.03638767963940296,2.4415415876781516e-18,8.911539275455017e-10,2.1134351763695296e-06
SW26775,0.004011955702397982,0.9959880440637988,2.336194691379265e-10,2.080173220587915e-51,6.12069544152284e-36,5.5419792371409355e-19
SW25953,3.9833488429989665e-15,1.0,7.086270271545935e-14,1.610082520028906e-76,3.890998463904433e-64,7.005100714460633e-27
SW15067,0.12779396074181978,0.8722020137148802,3.5174289200652756e-06,4.330870183034264e-30,2.098682331850015e-19,5.081144124771665e-07
SW24258,0.031332624300932234,0.9686671693904895,2.063080053532798e-07,6.245259135362212e-41,3.368256182339116e-28,5.392296530526895e-13
SW7823,0.12724313978723253,0.8725906532215991,0.00016620396762615075,3.713987403804149e-20,7.526109298927039e-15,3.0236360891147698e-09
SW10522,0.8948609741667006,0.10496790354490765,3.0288513441524613e-06,5.296565300441131e-40,1.3448259940817095e-23,0.0001680934370633201
SW7173,0.1417770950545909,0.28167741208679775,0.5765454714847215,3.1206697405639947e-20,1.1577780800754902e-09,2.021609362250599e-08
SW19151,0.001534456576218957,0.9984626779732874,2.786359465742861e-06,2.4967170326483545e-27,1.3140221963046901e-12,7.90895673938065e-08
SW30029,0.37534334518250173,0.6246452194289409,1.1431586375128279e-05,4.2257477989802494e-48,2.0560451915224065e-30,3.802483474030909e-09
SW19874,0.8183584111619226,0.17896695557068323,0.002646272604625285,3.814037743125292e-20,7.327277840048854e-18,2.8360662730630753e-05
SW23298,0.9055661109471679,0.09441246750370079,1.111949924615107e-05,1.3075537241940892e-36,9.54760527766745e-20,1.030204992313407e-05
SW7948,8.768535145051577e-11,0.9999999998835847,2.8665383679013614e-11,8.50586325677191e-98,5.111179129910048e-72,2.634193870396665e-35
SW1951,0.8700984200962955,0.12990157761157897,2.29181206213201e-09,9.828706825301849e-100,6.633845816888126e-76,2.7940966701317363e-22
SW5422,0.999262830018301,0.0007187682073944087,1.7385753901471447e-05,7.195546895017614e-29,9.140228102020373e-29,1.016020214988848e-06
SW24434,0.0014211301084939884,0.9985785596262348,3.096040020053554e-07,1.4984530688194237e-35,5.897794084358693e-22,6.614788301546316e-10
SW5207,0.19195612421070252,0.8080365151008618,7.360688358493107e-06,8.282455046215661e-54,6.240492578838769e-31,7.659719157687182e-15
SW3636,0.0007787167173099969,0.9992212714901587,1.1784843286782053e-08,1.5977893258285193e-40,1.1994223866572656e-24,7.52190414447184e-12
SW17512,0.016074059608683106,0.01516229803829256,0.9687635188667574,5.144586478190303e-14,1.847273326870718e-12,1.234843006876084e-07
SW8761,0.037146489704871805,0.9628222786454259,3.123147810050406e-05,2.0337458349102444e-21,4.010965772710929e-18,1.7143324000822446e-10
SW15290,0.5129004959600804,0.2112657054768142,0.2756576161541562,2.5523131228438583e-13,5.596623498972164e-10,0.00017618184908728507
SW1767,0.9071154601209991,0.09288452662322508,1.3255604900128959e-08,6.204862237471716e-99,1.727705422874082e-76,2.5984566456984304e-26
SW24759,0.02738675751149085,0.9698914410578423,0.0027206773937357,5.551568623585372e-12,1.767352946296331e-09,1.1222639875892458e-06
SW11599,1.0405786243380512e-07,0.9999998945268145,1.4151410798182072e-09,1.772650095336032e-85,1.207974554627599e-50,3.0629773838989915e-25
SW18061,0.48120385532930293,0.5070332274087519,0.010868383555906871,2.6251406183915224e-20,2.173553691098458e-12,0.0008945337038063594
SW30861,0.035270763561483266,0.9647292290591639,7.3791327053798325e-09,9.13436683734481e-57,2.573298323849775e-40,3.635904368497574e-15
SW28965,5.242254909572478e-06,0.9999947577444873,1.161591457699126e-16,6.10272931045185e-114,4.559518408622275e-72,1.4534707432238826e-40
SW24123,0.03002638789645154,0.16698923811142738,0.80297056512808,8.672375124089038e-13,7.312568515706357e-07,1.3077606391107827e-05
SW3122,0.0006471943532112322,0.005967106036014476,7.154615393268101e-09,4.588730747718296e-54,5.7020752170700494e-36,0.9933856924558278
SW30217,0.1014228885302297,0.8954996066667285,0.002378910165394392,1.0768957802177642e-11,2.747717906618448e-09,0.0006985918791639118
SW18511,0.012915028122429659,0.9869614583944919,0.0001235133684396566,2.589039897657141e-48,1.6950684358553144e-27,1.1485875098282587e-10
SW6977,0.1850583735276088,0.8138501024021483,0.0010391783297967168,1.967742676358887e-16,1.4096511312486662e-08,5.2331643893910146e-05
SW26867,0.8183081253155448,0.140686215063034,0.041002616207930484,2.197482206426096e-13,3.5700895576175995e-15,3.0434133156993994e-06
SW14746,0.0013765376274981974,0.9984589957978615,0.00016391841736620522,3.5296230741867933e-23,6.364673082707681e-13,5.481566139957886e-07
SW3214,0.09297946805041674,0.904393812705926,0.002625296776861758,2.1607062307314128e-16,6.89034567258239e-14,1.4224666779280538e-06
SW28287,9.714221693236487e-13,0.9999999999990905,3.512212919105942e-24,3.3403279681947807e-96,3.3735473291797005e-62,7.544752818091986e-34
SW9029,0.0026367197120630123,0.9973632802604466,2.6777632504208802e-11,3.704643552965694e-38,9.042858779700916e-26,7.771915435162433e-13
SW30396,0.28803209578475536,0.7104487726792734,0.0015188246426074397,8.155067585262462e-25,2.975281098234749e-19,3.068931587805953e-07
SW28986,0.21656958764827666,0.7831899713505102,0.00023844549288095865,6.852284828453725e-20,4.380287017878682e-12,1.9955039489329082e-06
SW6809,0.046037846142680756,0.9066580831136762,0.04730354637853749,7.50969756165699e-17,1.3950169320848134e-11,5.243512666762725e-07
SW9030,0.0028004922148548664,0.9971959325575653,3.575224487826857e-06,6.801479652898976e-48,4.553429115770216e-29,2.971840915753189e-12
SW5582,4.475957145783078e-08,0.9999999547226263,5.176711794146098e-10,7.508967754428907e-44,4.459863605114901e-38,3.689438081037567e-22
SW7791,0.004360126366179739,0.9799376084647319,0.015702216351434185,1.0891889765812907e-37,9.935485316263622e-34,4.881776486006063e-08
SW1933,0.06006506565736246,0.9369298399240922,0.003004770403005936,1.4465814796729691e-21,7.244767372177587e-11,3.239430208683741e-07
SW2420,0.9071974980984616,0.07199884218042524,0.01773049370554604,1.3506606239845054e-16,7.024521918181895e-18,0.003073166015712995
SW25066,0.014052531272705875,0.9859411463717705,3.957347219177241e-06,6.023619106597016e-40,1.0864345237698538e-27,2.3650081588798232e-06
SW7370,0.46758421280998774,0.5311739724895486,0.0012418146995790999,3.817390588569804e-42,1.553989541566974e-32,4.901131989389956e-13
SW20735,1.1481427661809016e-05,0.9999884782091445,4.036334058344586e-08,1.4416440135839358e-46,1.0135637064671309e-29,2.575309007438197e-14
SW23859,0.0035513712389914917,0.9964485289011851,9.985964713557828e-08,6.093350076257115e-47,8.319668127605396e-33,3.750618653525389e-15
SW22869,0.025592772144439807,0.9744029228572684,4.303605202940789e-06,8.602855662270814e-26,1.2469938132521515e-21,1.393291619326437e-09
SW21815,0.9978422600846516,0.0020970534761364117,6.068632216541294e-05,4.241853728130397e-25,1.0008380205511903e-24,1.1694464255578422e-10
SW1298,0.15672052612034246,0.8359561228359174,0.0073229934137225726,1.2653491252619188e-21,3.3811484090473866e-15,3.576301205482783e-07
SW1744,0.08132436279198746,0.8823398600865777,0.03633576732704974,1.2000580883647008e-15,6.176020585523622e-14,9.794287224227581e-09
SW29318,7.147626579891472e-05,3.6769175342456643e-09,0.9999285200447479,1.0712636228078855e-75,1.5047261041930021e-62,1.2150831412295563e-11
SW648,0.0018943754869614159,0.9981049408560869,6.836571273630925e-07,3.825498223294111e-48,2.8888648790228858e-31,1.4193032376255037e-16
SW30949,0.022108093284300596,0.9778632273206137,2.86759657938645e-05,2.3379754830221863e-31,1.509808965178661e-26,3.4292537388728734e-09
SW23499,0.033503751043979534,0.9664961566505603,9.230519659048656e-08,8.002994096701424e-40,1.0464364114601955e-31,8.123471217384154e-14
SW12865,0.022286225172388468,0.9456692594142702,0.03204451541315807,4.572770388658938e-37,1.4176465962189103e-25,8.228097910153533e-14
SW3842,0.9107732293222738,0.08922648478371153,2.858933652347341e-07,1.6269986449067232e-44,2.7879034291245427e-33,2.93172409899778e-13
SW24176,0.02329550923532097,0.9767044441912386,4.6573201901110036e-08,8.603078914603771e-79,1.927350107197205e-46,1.3257650769328984e-19
SW29895,0.0033079468189386317,0.9957698633533404,0.0009221898275680592,1.004425873703312e-54,2.1113511134074897e-42,3.612958611569898e-18
SW1163,0.4802713731886551,0.5197280992058532,5.271422739995686e-07,1.1834443927403982e-24,7.606605429094267e-19,4.633171554508317e-10
SW4834,0.10283026115160089,0.8971515425184373,1.8196329437202652e-05,4.031136545165387e-40,2.497527190526042e-28,7.097309857429257e-13
SW15014,0.0004928000625981764,0.999451226346487,5.596935992263087e-05,1.4284157991256526e-17,3.710517201598869e-11,4.193784361642457e-09
SW23998,0.15266934839898547,0.8469673742171392,0.00036327736776058507,4.0653064436837974e-42,6.042034591795535e-22,1.5926983343000674e-11
SW23034,0.00013742097627526633,0.9993130519558946,0.0005495226456400894,5.850866047210156e-16,7.440584643794133e-11,4.347863268295699e-09
SW18883,4.0486713557071303e-08,0.9999999503793345,9.133812078369494e-09,1.4371753180657023e-43,2.9071329856311038e-27,5.2828363756537476e-18
SW23376,0.0008501048628744812,0.9973054801481883,0.0018444149887503606,2.750181452133932e-29,1.5373252380353258e-14,1.8465604853049058e-13
